"player_name_pfr","college_combine","Ht","Wt","X40yd","Vertical","Bench","Broad_Jump","X3Cone","Shuttle","pos_combine","combine_yr","Pick","Career_AV_New","draft_dummy"
"Lorenzo Carter","Georgia",78,250,4.5,36,NA,130,NA,NA,"EDGE",2018,66,10,1
"Lowell Lotulelei","Utah",74,315,NA,NA,28,NA,NA,NA,"DT",2018,300,0,0
"Luke Falk","Washington State",76,215,NA,26.5,NA,103,NA,NA,"QB",2018,199,2,1
"M.J. Stewart","North Carolina",71,200,4.54,35,18,118,6.9,4.28,"CB",2018,53,5,1
"Malik Jefferson","Texas",75,236,4.52,36,27,125,NA,NA,"OLB",2018,78,3,1
"Marcell Ateman","Oklahoma State",76,216,4.62,34,13,121,7.07,4.25,"WR",2018,228,3,1
"Marcell Harris","Florida",72,208,NA,NA,16,NA,NA,NA,"S",2018,184,8,1
"Marcus Allen","Penn State",74,202,NA,37,15,127,NA,4.32,"S",2018,148,2,1
"Marcus Baugh","Ohio State",75,247,4.81,33,NA,117,7.28,4.51,"TE",2018,300,0,0
"Marcus Davenport","Texas-San Antonio",78,264,4.58,33.5,22,124,7.2,4.41,"DE",2018,14,10,1
"Mark Andrews","Oklahoma",77,256,4.67,31,17,113,7.34,4.38,"TE",2018,86,25,1
"Mark Walton","Miami (FL)",70,202,4.6,31.5,18,118,NA,NA,"RB",2018,112,4,1
"Marquez Valdes-Scantling","South Florida",76,206,4.37,30.5,15,124,NA,NA,"WR",2018,174,15,1
"Marquis Haynes","Mississippi",75,235,4.67,32,23,123,7.14,4.45,"EDGE",2018,136,4,1
"Martinas Rankin","Mississippi State",76,308,NA,NA,24,NA,NA,NA,"OL",2018,80,8,1
"Mason Cole","Michigan",76,307,5.23,23.5,23,104,7.77,4.78,"C",2018,97,13,1
"Mason Rudolph","Oklahoma State",77,235,4.9,26,NA,NA,NA,NA,"QB",2018,76,5,1
"Matt Dickerson","UCLA",76,292,5.06,31,26,NA,NA,NA,"DE",2018,300,0,0
"Matt Pryor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,206,6,1
"Matthew Adams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,221,8,1
"Matthew Thomas","Florida State",75,232,4.58,41.5,NA,131,6.85,4.28,"OLB",2018,300,0,0
"Maurice Hurst","Michigan",74,292,NA,NA,NA,NA,NA,NA,"DT",2018,300,0,0
"Max Redfield","Indiana (PA)",73,205,4.69,NA,15,NA,NA,NA,"S",2018,300,0,0
"Micah Kiser","Virginia",74,238,4.66,35.5,NA,121,7.05,4.24,"ILB",2018,147,7,1
"Michael Dickson","Texas",74,208,NA,NA,NA,NA,NA,NA,"P",2018,149,9,1
"Michael Gallup","Colorado State",73,205,4.51,36,10,122,6.95,4.37,"WR",2018,81,19,1
"Michael Joseph","Dubuque",73,181,NA,34,17,NA,6.89,4.2,"CB",2018,300,0,0
"Mike Gesicki","Penn State",77,247,4.54,41.5,22,129,6.76,4.1,"TE",2018,42,13,1
